,Ticker
0,HODL
1,I
2,OC
3,$AMD
4,I’m
5,ACH
6,$SFT
7,I’m
8,$FUD
9,(ACH)
10,AMC
11,I
12,I
13,RBLX.
14,RBLX
15,LLC
16,(NASDAQ:ADXS)
17,$MVST
18,ETF
19,I
20,IOO
21,I
22,RVN
23,I’m
24,I’m
25,$APPL
26,ALL
27,MILE
28,$MVST
29,MILE
30,SBCAKE
31,A
32,STRONG
33,CASE
34,FOR
35,ETON
36,I
37,$FFIE
38,NOT
39,A
40,SCAM
41,ONE
42,$FFIE
43,PFE
44,CEO
45,TV
46,ZNGA
47,BABA:
48,$FFIE
49,CEO
50,TV
51,MVST
52,I
53,I
54,I
55,I
56,HUGE
57,CEO
58,TV
59,I
60,ACH-diamond
61,ZNGA?
62,I
63,I
64,"""W"""
65,I
66,I
67,$FFIE
68,P/E
69,I
70,HUGE
71,VCTR
72,I
73,RGBP
74,VCTR
75,$AMC’er
76,$WISH
77,YOLO
78,I
79,ACH
80,SPACS
81,A
82,#ADCT
83,MVST
84,$CHPT
85,I
86,I’m
87,CEO
88,CEO's
89,$PLTR
90,BEYOND
91,THE
92,MOON
93,#LUMENADE
94,I
95,$ZY?
96,I
97,$ZY
98,I
99,AMD
100,MCFE
101,$PLTR
102,ACH
103,I
104,UK
105,AMC
106,PSA:
107,UK
108,AMC
109,AMC
110,$ZY
111,FAT
112,ASS
113,UK
114,AMC
115,$WISH
116,I
117,SPCE
118,YOLO
119,I
120,I
121,I
122,I
123,MSTR
124,QS
125,I
126,AMD
127,I’ll
128,Y’all
129,AMED
130,MASSIVE
131,OPTIONS
132,I
133,I
134,I’m
135,RH
136,I
137,I
138,I
139,DNUT
140,$VIAC
141,EOD
142,I
143,MVST
144,YOLO
145,A
146,WTF
147,SPY
148,YOLO
149,KXIN?
150,MVST
151,YOLO
152,KTOS
153,I
154,(MGTA)
155,I
156,MGTA
157,GDRX
158,I
159,(MGTA)
160,ZIOP
161,$KXIN?
162,AMD
163,SOS
164,LETS
165,GOO!!
166,SOS
167,NIO
168,$WISH
169,$KXIN?
170,GNW
171,MMAT
172,$SSSS
173,Hedgies”R”Fucked
174,IRTC
175,DOUBLED
176,$BLIN
177,MVIS
178,IPO
179,I
180,I
181,$HOOD
182,GNW
183,AMC
184,FTD’s
185,HODL
186,ATHX
187,ARDS
188,DOUBLED
189,NEGG
190,ATHX
191,ARDS
192,AMC!
193,I'm
194,I
195,AMC
196,I
197,I'm
198,ATHX
199,ARDS
200,I
201,MX
202,I’ll
203,OCGN
204,MX
205,I’m
206,PABLO
207,HEMAN
208,TD
209,YOLO
210,ECVT
211,XELA
212,PRTS
213,XELA
214,CLOV
215,$CFLT
216,DD
217,YOLO
218,I
