datetime,Unemployment Rate,Real GDP (Percent Change),Effective Federal Funds Rate,Federal Funds Target Rate,Federal Funds Upper Target,Federal Funds Lower Target
1954-07-01,5.8,4.6,0.8,,,
1954-08-01,6.0,,1.22,,,
1954-09-01,6.1,,1.06,,,
1954-10-01,5.7,8.0,0.85,,,
1954-11-01,5.3,,0.83,,,
1954-12-01,5.0,,1.28,,,
1955-01-01,4.9,11.9,1.39,,,
1955-02-01,4.7,,1.29,,,
1955-03-01,4.6,,1.35,,,
1955-04-01,4.7,6.7,1.43,,,
1955-05-01,4.3,,1.43,,,
1955-06-01,4.2,,1.64,,,
1955-07-01,4.0,5.5,1.68,,,
1955-08-01,4.2,,1.96,,,
1955-09-01,4.1,,2.18,,,
1955-10-01,4.3,2.4,2.24,,,
1955-11-01,4.2,,2.35,,,
1955-12-01,4.2,,2.48,,,
1956-01-01,4.0,-1.5,2.45,,,
1956-02-01,3.9,,2.5,,,
1956-03-01,4.2,,2.5,,,
1956-04-01,4.0,3.4,2.62,,,
1956-05-01,4.3,,2.75,,,
1956-06-01,4.3,,2.71,,,
1956-07-01,4.4,-0.3,2.75,,,
1956-08-01,4.1,,2.73,,,
1956-09-01,3.9,,2.95,,,
1956-10-01,3.9,6.7,2.96,,,
1956-11-01,4.3,,2.88,,,
1956-12-01,4.2,,2.94,,,
1957-01-01,4.2,2.6,2.84,,,
1957-02-01,3.9,,3.0,,,
1957-03-01,3.7,,2.96,,,
1957-04-01,3.9,-0.9,3.0,,,
1957-05-01,4.1,,3.0,,,
1957-06-01,4.3,,3.0,,,
1957-07-01,4.2,4.0,2.99,,,
1957-08-01,4.1,,3.24,,,
1957-09-01,4.4,,3.47,,,
1957-10-01,4.5,-4.0,3.5,,,
1957-11-01,5.1,,3.28,,,
1957-12-01,5.2,,2.98,,,
1958-01-01,5.8,-10.0,2.72,,,
1958-02-01,6.4,,1.67,,,
1958-03-01,6.7,,1.2,,,
1958-04-01,7.4,2.6,1.26,,,
1958-05-01,7.4,,0.63,,,
1958-06-01,7.3,,0.93,,,
1958-07-01,7.5,9.6,0.68,,,
1958-08-01,7.4,,1.53,,,
1958-09-01,7.1,,1.76,,,
1958-10-01,6.7,9.7,1.8,,,
1958-11-01,6.2,,2.27,,,
1958-12-01,6.2,,2.42,,,
1959-01-01,6.0,7.7,2.48,,,
1959-02-01,5.9,,2.43,,,
1959-03-01,5.6,,2.8,,,
1959-04-01,5.2,10.1,2.96,,,
1959-05-01,5.1,,2.9,,,
1959-06-01,5.0,,3.39,,,
1959-07-01,5.1,-0.8,3.47,,,
1959-08-01,5.2,,3.5,,,
1959-09-01,5.5,,3.76,,,
1959-10-01,5.7,1.6,3.98,,,
1959-11-01,5.8,,4.0,,,
1959-12-01,5.3,,3.99,,,
1960-01-01,5.2,9.2,3.99,,,
1960-02-01,4.8,,3.97,,,
1960-03-01,5.4,,3.84,,,
1960-04-01,5.2,-1.5,3.92,,,
1960-05-01,5.1,,3.85,,,
1960-06-01,5.4,,3.32,,,
1960-07-01,5.5,1.0,3.23,,,
1960-08-01,5.6,,2.98,,,
1960-09-01,5.5,,2.6,,,
1960-10-01,6.1,-4.8,2.47,,,
1960-11-01,6.1,,2.44,,,
1960-12-01,6.6,,1.98,,,
1961-01-01,6.6,2.7,1.45,,,
1961-02-01,6.9,,2.54,,,
1961-03-01,6.9,,2.02,,,
1961-04-01,7.0,7.6,1.49,,,
1961-05-01,7.1,,1.98,,,
1961-06-01,6.9,,1.73,,,
1961-07-01,7.0,6.8,1.17,,,
1961-08-01,6.6,,2.0,,,
1961-09-01,6.7,,1.88,,,
1961-10-01,6.5,8.3,2.26,,,
1961-11-01,6.1,,2.61,,,
1961-12-01,6.0,,2.33,,,
1962-01-01,5.8,7.4,2.15,,,
1962-02-01,5.5,,2.37,,,
1962-03-01,5.6,,2.85,,,
1962-04-01,5.6,4.4,2.78,,,
1962-05-01,5.5,,2.36,,,
1962-06-01,5.5,,2.68,,,
1962-07-01,5.4,3.9,2.71,,,
1962-08-01,5.7,,2.93,,,
1962-09-01,5.6,,2.9,,,
